symbol	company	yayk	nayk	mayk	yay	nay	may	desc
GUS.V	Angus Gold Inc.	3	4	0	clojure.lang.LazySeq@f848e18d	clojure.lang.LazySeq@29c24b61	clojure.lang.LazySeq@1	Angus Gold Inc., a gold exploration company, focuses on the acquisition, exploration, and development of mineral properties. The company holds interest in the Golden Sky project, which covers an area of approximately 205 square-kilometers located in the Mishibishu Lake Greenstone Belt in Ontario, Canada. It also owns interests in the Macassa Creek, Mishi Lake, and Abbie Lake properties located in Ontario, Canada. The company was formerly known as Angus Ventures Inc. and changed its name to Angus Gold Inc. in September 2020. Angus Gold Inc. was incorporated in 2010 and is headquartered in Toronto, Canada.
GVR.V	Grosvenor Resources Corp	3	1	0	clojure.lang.LazySeq@e776e6c8	clojure.lang.LazySeq@30807f	clojure.lang.LazySeq@1	Grosvenor Resource Corporation, a natural resource company, engages in the acquisition and exploration of mineral properties in Canada. It holds a 100% interest in the Powder gold-silver property. The company was formerly known as Reva Resources Corp. and changed its name to Grosvenor Resource Corporation in August 2016. The company was incorporated in 2004 and is headquartered in West Vancouver, Canada.
GWM.V	Galway Metals Inc	3	2	1	clojure.lang.LazySeq@f848e18d	clojure.lang.LazySeq@6100fc1	clojure.lang.LazySeq@329f7b	Galway Metals Inc. engages in the acquisition, exploration, and development of mineral resource properties. It explores for zinc, gold, copper, silver, and lead. The company holds an option to acquire 100% interest in the Clarence Stream gold project that covers an area of 60,465 hectares located in south-western New Brunswick, Canada. It also holds a 100% interest in the Estrades mine, related Newiska concessions, and adjacent Casa Berardi claims covering an area of 20,915 hectares in western Quebec, Canada. The company was incorporated in 2012 and is headquartered in Toronto, Canada.
HEI.V	Huntington Exploration Inc	3	3	0	clojure.lang.LazySeq@e776e6c8	clojure.lang.LazySeq@74651481	clojure.lang.LazySeq@1	Huntington Exploration Inc., a junior oil and gas company, engages in the acquisition, evaluation, exploration, and development of natural gas and oil properties in Western Canada. It holds a 50% working interest in two wells located on one section of land in Warwick Alberta. The company was formerly known as Goldust Mines Ltd. and changed its name to Huntington Exploration Inc. in July 1997. Huntington Exploration Inc. was incorporated in 1995 and is headquartered in Calgary, Canada.
HITI.V	High Tide Inc	3	0	0	clojure.lang.LazySeq@f37cc28c	clojure.lang.LazySeq@1	clojure.lang.LazySeq@1	High Tide Inc. operates as a vertically-integrated company in the cannabis market in Canada. It engages in the design, manufacture, and distribution of cannabis accessories and alternative lifestyle products. The company is also involved in the retailing of cannabis products. As of August 7, 2020, it operated 34 Canna Cabana retail cannabis stores in Ontario, Alberta, and Saskatchewan. The company was formerly known as High Tide Ventures Inc. and changed its name to High Tide Inc. in October 2018. High Tide Inc. was founded in 2009 and is headquartered in Calgary, Canada.
HME.V	Hemisphere Energy Corp	3	2	3	clojure.lang.LazySeq@e776e6c8	clojure.lang.LazySeq@d03d410c	clojure.lang.LazySeq@ecf35e07	Hemisphere Energy Corporation acquires, explores for, develops, and produces petroleum and natural gas interests in Canada. It primarily owns a 100% working interest in 9,760 net acres of land in the Atlee Buffalo property located in southeastern Alberta; and a 100% working interest in 7,224 net acres of land in the Jenner property situated in southeastern Alberta. The company was formerly known as Northern Hemisphere Development Corp. and changed its name to Hemisphere Energy Corporation in April 2009. Hemisphere Energy Corporation was founded in 1977 and is headquartered in Vancouver, Canada.
HMLO.V	Hemlo Explorers Inc.	3	1	0	clojure.lang.LazySeq@f848e18d	clojure.lang.LazySeq@30807f	clojure.lang.LazySeq@1	Hemlo Explorers Inc. engages in the exploration and development of mineral properties in Canada. It explores for iron, gold, zinc, and other deposits. The company holds a 100% interest in the Hemlo North Limb project that includes 135 claim units comprising 2,160 hectares, as well as staked claims of 303 units totaling 4,848 hectares located to the northeast of Marathon, Ontario. It also holds interest in the Hemlo North and West properties that collectively consist of 414 claims totaling 6,833 hectares. In addition, the company holds a 100% interest in the Pic project, which includes the Wire Lake property that covers 251 claim units comprising 4,047 hectares; and the Black Raven property, which comprises 415 claim units covering approximately 6,640 hectares located in the northwest portion of the Hemlo Greenstone Belt. Further, it owns the Goodchild Lake property comprising 25 claim units totaling approximately 400 hectares; and a 100% interest in the Belcher Islands iron project, which covers 23,042 hectares located on the Belcher Islands in Nunavut, Canada. Additionally, the company holds royalty interest in the Crescent Lake project and Hawkins property. The company was formerly known as Canadian Orebodies Inc. and changed its name to Hemlo Explorers Inc. in May 2020. Hemlo Explorers Inc. was founded in 2008 and is headquartered in Toronto, Canada.
IBT.V	Ibex Technologies Inc	3	1	1	clojure.lang.LazySeq@1b919eed	clojure.lang.LazySeq@cf8edd7f	clojure.lang.LazySeq@86da3fbe	IBEX Technologies Inc., through its subsidiaries, manufactures and markets enzymes for biomedical use in Canada, the United States, the United Kingdom, and internationally. It offers a portfolio of recombinant glycosaminoglycan lyases, including Heparinase I, Heparinase II, Heparinase III, Chondroitinase AC, and Chondroitinase B; cartilage assays for the study of synthesis and degradation of connective tissue components; collagen antibodies; and diamine oxidase liquid. The company also manufactures and markets a range of arthritis assays, which are used in osteoarthritis research. In addition, it provides services, such as filling and lyophilization for making disposable medical device components; and custom fermentation and micro dispensing of enzymes, as well as contract manufacturing. It serves manufacturers of medical devices, quality control labs, and academic research institutions. IBEX Technologies Inc. was founded in 1986 and is based in Montreal, Canada.
IFR.V	International Frontier Resources Corpora	3	6	1	clojure.lang.LazySeq@e776e6c8	clojure.lang.LazySeq@e871a264	clojure.lang.LazySeq@86da3fbe	International Frontier Resources Corporation acquires, develops, exploits, and produces oil and natural gas reserves. The company has operations in the Central Mackenzie Valley and Northwest Territories, Canada; north-west Montana in the United States; and Mexico. International Frontier Resources Corporation has a strategic alliance with SIMMONS EDECO to pursue oil and gas opportunities in the Mexican market primarily focused on upstream oil and gas, as well as midstream and service contract opportunities. The company was founded in 1995 and is based in Calgary, Canada.
IFX.V	Imaflex Inc	3	1	2	clojure.lang.LazySeq@8098892f	clojure.lang.LazySeq@e2923ebf	clojure.lang.LazySeq@a261f4f	Imaflex Inc., together with its subsidiary, develops, manufactures, and sells flexible packaging materials for consumer, industrial, and agriculture markets in Canada, the United States, and internationally. The company offers plastic films; agricultural films, including mulch, solarization, fumigation, compostable, and crop protection films; converter films; and industrial bags, such as garbage, compostable, and gaylord bags, as well as bags on roll products. It primarily operates under the Shine N' Ripe XL and ADVASEAL brand names. The company sells its products to printers who process the film into a finished product to meet their end-customer needs, as well as directly to customers. Imaflex Inc. was founded in 1994 and is headquartered in Montreal, Canada.
ILC.V	International Lithium Corp	3	0	1	clojure.lang.LazySeq@f848e18d	clojure.lang.LazySeq@1	clojure.lang.LazySeq@8960648f	International Lithium Corp. engages in the investment, exploration, and development of mineral properties in Argentina, Canada, and Ireland. It primarily explores for lithium-potash and rare metal deposits. The company holds interest in the Mariana lithium-potash brine project covering an area of 160 square kilometers located in Salta, Argentina. It also has interests in the Mavis Lake - Fairservice project lithium project, which consists of 19 mineral claims totaling 2,544 hectares located near Dryden, Ontario; and the Raleigh Lake project comprising 3,027 hectares of mineral claims located in Thunder Bay, Ontario. In addition, the company holds interests in the Forgan Lake project that consists of claims covering an area of 256 hectares located in the Thunder Bay Mining District in Northwestern Ontario, Canada; and the Avalonia lithium project, which comprises 8 prospecting licenses totaling 292 square kilometers in southeastern Ireland. International Lithium Corp. was incorporated in 2009 and is headquartered in Vancouver, Canada.
IMT.V	International Montoro Res. Inc	3	1	0	clojure.lang.LazySeq@f848e18d	clojure.lang.LazySeq@30807f	clojure.lang.LazySeq@1	International Montoro Resources Inc. engages in the exploration and development of mineral properties in Canada. The company primarily explores for copper, nickel, cobalt, vanadium, titanium, chromium, uranium, gold, PGE, and rare earth elements. It focuses on exploring projects located in British Columbia, Ontario, and Quebec, Canada. International Montoro Resources Inc. was incorporated in 1987 and is headquartered in North Vancouver, Canada.
IPA.V	Immunoprecise Antibodies Ltd	3	1	1	clojure.lang.LazySeq@103bd1b	clojure.lang.LazySeq@85caf2c1	clojure.lang.LazySeq@86da3fbe	ImmunoPrecise Antibodies Ltd. engages in the antibody production and related services in the United States, Canada, Europe, and internationally. Its services include B cell sorting, screening and sequencing; custom, immune, and naive phage display production and screening; transgenic animals and multispecies antibody discovery; bi-specific, tri-specific, VHH, and VNAR (shark) antibody manufacturing; DNA cloning, protein and antibody downstream processing, purification in gram scale levels, and characterization and validation; antibody engineering; transient and stable cell line generation; antibody optimization and humanization; hybridoma production with screening and clone-picking; cryopreservation; affinity measurements, functional assays, and epitope mapping and binning; and modeling, design, and manufacturing of custom antigen. The company has a collaboration with University of Victoria to develop a saliva-based antibody-based test for the detection and screening of COVID-19; Zymeworks Inc. for the development of multiple antibody candidates to fight COVID-19; and National Research Council of Canada's Human Health Therapeutics Research Centre to develop neutralizing PolyTope antibodies against SARS-CoV-2, as well as a research partnership with Mila. ImmunoPrecise Antibodies Ltd. was founded in 1989 and is headquartered in Fargo, North Dakota.
JAEG.V	Jaeger Resources Corp	3	1	2	clojure.lang.LazySeq@e776e6c8	clojure.lang.LazySeq@21f49f	clojure.lang.LazySeq@8f81b455	Jaeger Resources Corp., a junior natural resource company, engages in the acquisition, exploration, and development of mineral properties in Canada. It primarily explores for lead, zinc, silver, copper deposits. The company has an option agreement to acquire an 80% interest in the Taylor Brook Property located in the Bathurst Mining Camp, New Brunswick. The company was formerly known as Bandera Gold Ltd. and changed its name to Jaeger Resources Corp. in July 2018. Jaeger Resources Corp. was incorporated in 1993 and is based in Edmonton, Canada.
JNH.V	Jack Nathan Medical Corp	3	0	0	clojure.lang.LazySeq@103bd1b	clojure.lang.LazySeq@1	clojure.lang.LazySeq@1	Jack Nathan Medical Corp., a healthcare company, operates primary care medical clinics in Walmart Supercentres under the Jack Nathan Health brand. It operates medical centres in 76 Walmart locations in Canada, including British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, and Quebec, as well as 6 locations in Mexico. The company is headquartered in Georgetown, Canada.
JUB.V	Jubilee Gold Exploration Ltd	3	1	0	clojure.lang.LazySeq@f848e18d	clojure.lang.LazySeq@21f49f	clojure.lang.LazySeq@1	Jubilee Gold Exploration Ltd. engages in the exploration of mineral resource properties in Canada. It holds net smelter royalties in various properties located in New Brunswick, Ontario, and Quebec, Canada. The company was incorporated in 2013 and is based in Toronto, Canada.
KDA.V	Kda Group Inc	3	9	0	clojure.lang.LazySeq@379ed0fb	clojure.lang.LazySeq@db3fb492	clojure.lang.LazySeq@1	KDA Group Inc. offers solutions and services to pharmacies and pharmaceutical companies in Canada. The company operates in three segments: Pharmacy Services, Pharmaceutical Solutions, and Pharmaceutical Cannabis. It provides pharmacy staff replacement services, professional and continued medical training services, online and in-class training for pharmacists and pharmacy technical assistants, human resource and crisis management consulting services, private health services, pharmacy re-engineering services, and pharmaceutical training services. The company also offers software applications, such as Virtual Clinics, Virtual Pharmacy, and eCommerce for orders of medical cannabis products, as well as counselling and training services on medical cannabis products for doctors, pharmacists, and patients; and replacement and training services to dental personnel. The company was formerly known as AlliancePharma Inc. and changed its name to KDA Group Inc. in February 2017. KDA Group Inc. was incorporated in 2008 and is headquartered in Thetford Mines, Canada.
KDK.V	Kodiak Copper Corp.	3	2	2	clojure.lang.LazySeq@f848e18d	clojure.lang.LazySeq@6100fc1	clojure.lang.LazySeq@db47f7a1	Kodiak Copper Corp. primarily engages in the copper porphyry projects exploration business in Canada and the United States. Its principal project is the MPD copper-gold porphyry project that covers an area of approximately 7,850 hectares in southern British Columbia. The company also holds a 100% interest in the Mohave copper-molybdenum-silver porphyry project covering an area of approximately 10.4 square kilometers in Mohave County, Arizona, the United States; and a 100% interest in the Trapper copper-gold porphyry project covering approximately 38 square kilometers in the northern Golden Triangle region of British Columbia. In addition, it holds a 100% interest in the Kahuna diamond project located in Nunavut, Canada. The company was formerly known as Dunnedin Ventures Inc. and changed its name to Kodiak Copper Corp. in April 2020. Kodiak Copper Corp. was incorporated in 1987 and is headquartered in Vancouver, Canada.
KHRN.V	Khiron Life Sciences Corp	3	0	0	clojure.lang.LazySeq@463f672d	clojure.lang.LazySeq@1	clojure.lang.LazySeq@1	Khiron Life Sciences Corp. operates as an integrated cannabis company in Latin America, North America, and Europe. It operates through three segments: Medical Cannabis Products, Health Services, and Wellbeing Products. The company focuses on the cultivation, production, distribution, and export of tetrahydrocannabinol and CBD (cannabidiol) medical cannabis. It also operates a network of health centers under the ILANS and Zerenia brands; develops CBD-based cosmeceutical products under the Kuida brand name; and operates Zerenia clinic in Medellin. Khiron Life Sciences Corp. was founded in 2017 and is based in Vancouver, Canada.
LTE.V	Lite Access Technologies Inc	3	0	2	clojure.lang.LazySeq@1b919eed	clojure.lang.LazySeq@1	clojure.lang.LazySeq@67e35fd4	Lite Access Technologies Inc. manufactures, distributes, sells, and installs fiber optic technology specializing in micro ducts and air-blown fiber in Canada, the United States, the United Kingdom, and internationally. It operates in two segments, Product and Fibre Optic Installation. The company offers micro-duct, air-blown fiber, and micro and narrow trench installation services that are used in various communication networks. It also provides fiber-optic cables, aerial and low fire hazard micro-ducts, connectors, and sundries, as well as proprietary items, such as a cutting head, shark blades, and the LiteXtend solution. The company serves municipal and regional governments, telecom carriers and Internet service providers, first nations communities, and fibre to the home/premises, as well as intelligent traffic control, healthcare, point to point, and education networks. Lite Access Technologies Inc. was incorporated in 2003 and is headquartered in Langley, Canada.
MDX.V	Medx Health Corp	3	0	7	clojure.lang.LazySeq@103bd1b	clojure.lang.LazySeq@1	clojure.lang.LazySeq@c2142d56	MedX Health Corp., a medical device and software company, develops, manufactures, and markets skin related screening tools and phototherapy devices for pain relief and tissue repair in Canada, the United States, Europe, Australia, Asia, and Latin America. The company offers SIAscopy, a medical device technology that is used to scan skin for suspicious moles and lesions; and phototherapeutic medical devices, which use light energy in lower-level laser and LED to provide treatment for pain and tissue damage in the rehabilitation market. Its product portfolio includes SIMSYS, a skin analysis system; MoleMate, a non-invasive screening device that is designed for general practitioners and skin specialists; and SIAMETRICS, a skin visualization and measurement technology that allows cosmetic formulators and active ingredient manufacturers to measure and quantify the concentrations of melanin, haemoglobin, and collagen in living human skin. The company also provides rehab laser console systems, dental laser console systems, OraLase portable laser probes, MedX home treatment systems, and rehab portable lasers. In addition, it operates DermSecure telemedicine platform that enables the Web-based operation of SIAscopy scanning technology and allows the company to deploy its technology in networks of third-party locations from which patients' mole and lesion scans can be connected to specialist physicians for remote assessment. The company was founded in 1999 and is headquartered in Mississauga, Canada.
MINE.V	Inomin Mines Inc	3	4	1	clojure.lang.LazySeq@8487ad82	clojure.lang.LazySeq@c6983f61	clojure.lang.LazySeq@8960648f	Inomin Mines Inc., an exploration stage company, engages in the identification, exploration, and development of mineral properties in Canada. The company explores for gold, silver, copper, nickel, cobalt, and zinc deposits. It holds a 100% interest in the King's Point polymetallic project comprising 129 claims that covers an area of 3,225 hectares within two separate blocks located in the Green Bay area of Newfoundland; and the Fleetwood zinc-copper-silver-gold property located in the New Westminster Mining Division of southwestern British Columbia. The company also holds a 100% interest in the Beaver Nickle-Cobalt property comprising an area of 7,528 hectares; the Lynx Nickel property covering an area of 12,662 hectares located in British Columbia; and La Gitana and Pena Blanca Gold-Silver Projects located in Mexico. Inomin Mines Inc. has a strategic alliance with Turnagain Resources Inc. on Fleetwood-Seneca zinc-copper-silver-gold properties. The company was formerly known as Inovent Capital Inc. Inomin Mines Inc. was incorporated in 2012 and is based in Vancouver, Canada.
MLY.V	American Cumo Mining Corporation	3	1	3	clojure.lang.LazySeq@e776e6c8	clojure.lang.LazySeq@21f49f	clojure.lang.LazySeq@dc5fe5fe	American CuMo Mining Corporation, a mineral exploration and development company, engages in identifying, acquiring, and developing natural resource opportunities in the United States and Canada. The company explores for molybdenum, copper, and silver deposits. Its flagship property is the CuMo molybdenum project located in Idaho. The company was formerly known as Mosquito Consolidated Gold Mines Limited and changed its name to American CuMo Mining Corporation in January 2013. The company was incorporated in 1971 and is headquartered in Vancouver, Canada.
MSP.V	Minaean SP Construction Corp	3	0	2	clojure.lang.LazySeq@6df79b7f	clojure.lang.LazySeq@1	clojure.lang.LazySeq@7cf0a541	Minaean SP Construction Corp., through its subsidiaries, provides general contracting services to the construction industry in Canada. The company offers Light Gauge Steel technology, a cold formed galvanized steel that comes in a coil form to produce a range of uniform shapes and products; Vesta Quik-Build System that utilizes corrugated load-bearing light gauge steel panels; the Artisan Quik-Build System, a building technology, which uses an engineered floor and steel framed wall system to construct buildings; and Modular Quik-Build System, a prefabricated system of constructing a building in modules in a factory. It also offers contracting services, including engineering, procurement, and construction, as well as design-build services in the residential, commercial, industrial, healthcare, and hospitality sectors. The company was formerly known as Minaean International Corp. and changed its name to Minaean SP Construction Corp. in August 2015. Minaean SP Construction Corp. was incorporated in 1998 and is headquartered in Vancouver, Canada.
MT.V	M3 Metals Corp	3	3	1	clojure.lang.LazySeq@f848e18d	clojure.lang.LazySeq@bc13dcdf	clojure.lang.LazySeq@8960648f	M3 Metals Corp. engages in the acquisition, exploration, and development of mineral properties in North America. The company explores for gold, copper, iron, and silver deposits. It holds interests in the Aspen gold property that includes 7 mineral claims covering an area of 4,169.81 hectares and the Stars property, which covers an area of 2,136 hectares located in the Omineca Mining Division located in north central British Columbia, Canada. The company also has interests in the Block 103 iron ore project that covers an area of 7,245 hectares located in Labrador, Canada. Additionally, it has an option agreement to acquire 100% interest in the Mohave Property located in the Mohave County, Arizona. The company was formerly known as ML Gold Corp. and changed its name to M3 Metals Corp. in July 2019. M3 Metals Corp. was incorporated in 2007 and is headquartered in Vancouver, Canada.
MTLO.V	Martello Technologies Group Inc	3	1	0	clojure.lang.LazySeq@379ed0fb	clojure.lang.LazySeq@ab37322f	clojure.lang.LazySeq@1	Martello Technologies Group Inc., along with its subsidiaries, develops and sells products and solutions that optimize the performance of real-time applications on cloud and enterprise networks. It offers Mitel Performance Analytics, which monitors the status and performance of Mitel and third-party systems in the network; Martello Gizmo, which measures, alerts, and reports on Microsoft 365 user experience; unified communications solution for network health testing; Martello iQ, a service monitoring and analytics platform; and Live Maps, a Windows authentication troubleshooting solution. The company also provides technical support and training services. It serves industries, such as education, government, healthcare, professional services, and remote work, as well as service providers in Canada and internationally. The company was incorporated in 1981 and is headquartered in Ottawa, Canada.
MWX.V	Mineworx Technologies Ltd	3	1	0	clojure.lang.LazySeq@26cee454	clojure.lang.LazySeq@30807f	clojure.lang.LazySeq@1	Mineworx Technologies Ltd. engages in the exploration and development of mineral properties, and the development and deployment of extraction technologies in Spain and North America. It develops HM X-mill, a mineral grinding mill for grinding of ores, as well as regrinding of concentrates and tailings; HM X-leach, a cyanide-free process for the extraction of gold and other precious metals; and HM X-tract, a modular turnkey portable processing unit that includes crushing, grinding, sizing, gravity separation, floatation, concentration, clarification, water recycling, power generation, and operational service support modules. The company was formerly known as Iberian Minerals Ltd. and changed its name to Mineworx Technologies Ltd. in June 2017. Mineworx Technologies Ltd. was incorporated in 2017 and is headquartered in Surrey, Canada.
NBY.V	Niobay Metals Inc	3	0	1	clojure.lang.LazySeq@f848e18d	clojure.lang.LazySeq@1	clojure.lang.LazySeq@bffb786f	Niobay Metals Inc., a mineral resource company, acquires, explores for, and evaluates mining properties in Canada. The company explores for niobium and tantalum deposits. Its principal asset is a 100% interest in the James Bay Niobium Project that covers an area of 2,530 hectares located in the James Bay Lowlands in the Province of Ontario, Canada. The company was formerly known as MDN Inc. and changed its name to Niobay Metals Inc. in September 2016. Niobay Metals Inc. was founded in 1954 and is based in Montreal, Canada.
NED.V	New Destiny Mining Corp	3	0	1	clojure.lang.LazySeq@e776e6c8	clojure.lang.LazySeq@1	clojure.lang.LazySeq@8960648f	New Destiny Mining Corp., a junior mineral exploration company, engages in the acquisition, exploration, and evaluation of natural resource properties in Canada. It has an option agreement to acquire 100% interest in the Treasure Mountain Silver Property located in the east of Hope, British Columbia. The company was incorporated in 2009 and is based in Vancouver, Canada.
NGY.V	Nexera Energy Inc.	3	3	5	clojure.lang.LazySeq@e776e6c8	clojure.lang.LazySeq@74e48227	clojure.lang.LazySeq@7f5ee3e	Nexera Energy Inc. engages in the acquisition, exploration, and development of petroleum and natural gas properties in Alberta, Canada; and Texas, the United States. It owns and operates Lavernia, Wooden Horse, and Nash Creek Projects, as well as owns working interests in the HugoCellR, Cotulla, and MarPat partnerships. The company was formerly known as Emerald Bay Energy Inc. and changed its name to Nexera Energy Inc. in March 2020. Nexera Energy Inc. was incorporated in 1997 and is headquartered in Calgary, Canada.
NNO.V	Nano One Materials Corp	3	1	2	clojure.lang.LazySeq@60b0d924	clojure.lang.LazySeq@f8c1f362	clojure.lang.LazySeq@b3088365	Nano One Materials Corp. engages in the production of high performance cathode materials used in lithium ion batteries in Canada. It serves the energy storage, specialty ceramics, pharmaceutical, semiconductors, aerospace, dental, catalysts, and communications markets. The company has a strategic agreement with Pulead Technology Industry Co., Ltd. to develop, evaluate and optimize scaled-up production of Pulead's lithium iron phosphate cathode materials for use in lithium ion batteries. Nano One Materials Corp. was incorporated in 1987 and is headquartered in Burnaby, Canada.
NRN.V	Northern Shield Resources Inc	3	1	0	clojure.lang.LazySeq@e776e6c8	clojure.lang.LazySeq@30807f	clojure.lang.LazySeq@1	Northern Shield Resources Inc., a natural resource company, engages in identifying, acquiring, and exploring mineral properties primarily in Eastern Canada. The company principally explores for nickel, copper, gold, and platinum group elements. It holds a 100% interest in the Huckleberry property located in north of Schefferville; a 100% interest in the Idefix property situated in Labrador Trough, Qu̩bec; and a 50% interest in the Shot Rock property located in Nova Scotia. Northern Shield Resources Inc. was founded in 1999 and is headquartered in Ottawa, Canada.
NVI.V	Novra Technologies Inc	3	0	0	clojure.lang.LazySeq@f37cc28c	clojure.lang.LazySeq@1	clojure.lang.LazySeq@1	Novra Technologies Inc., together with its subsidiaries, provides products, systems, and services for the distribution of multimedia broadband content in Canada and internationally. The company offers video distribution products and systems for the provision of end-to-end solutions to traditional and non-traditional video networks; end-to-end infrastructure solutions for broadcast radio networks, including uplink and receive site equipment, as well as network management, encryption, and targeted regionalization/ad insertion options; and data distribution for hardware infrastructure, as well as content distribution network software solution for secure file broadcasting. It also provides digital cinema network infrastructure and services, high-end appliances for cinemas, decoders for live events and alternative content in 2D and 3D, and digital cinema distribution software solutions; and DVB and ATSC compliant receivers for the broadband communications network market. The company was founded in 2000 and is headquartered in Winnipeg, Canada.
NVV.V	Norvista Capital Corp	3	3	5	clojure.lang.LazySeq@f848e18d	clojure.lang.LazySeq@b64816ff	clojure.lang.LazySeq@130e4307	Norvista Capital Corporation operates as a resource investment company and merchant bank in the United States and Canada. It invests in a portfolio of companies that are involved in the exploration of base and precious metals, such as copper, zinc, silver, gold, and lead, as well as oil and gas located in Manitoba, Yukon, Mexico, and Nevada; and oil and gas in Israel, the United States, Brazil, and Canada. The company is headquartered in Toronto, Canada.
NWX.V	Newport Exloration Ltd	3	2	1	clojure.lang.LazySeq@e776e6c8	clojure.lang.LazySeq@5e13d33	clojure.lang.LazySeq@af1ca97f	Newport Exploration Ltd., a natural resource company, engages in the acquisition and exploration of resource properties. The company holds a 100% interest in the Chu Chua copper-gold project located to the north of Kamloops, British Columbia, Canada. It also holds a 2.5% gross overriding royalty interest on oil and gas permits in the Cooper Basin in Queensland, Australia. The company was incorporated in 1979 and is headquartered in West Vancouver, Canada.
OLV.V	Olivut Resources Ltd	3	0	0	clojure.lang.LazySeq@f848e18d	clojure.lang.LazySeq@1	clojure.lang.LazySeq@1	Olivut Resources Ltd. engages in the acquisition, exploration, and development of mineral properties in Canada. The company mines for diamonds. Its principal asset is the HOAM project that consist of 2 prospecting permits covering an area of approximately 90,927 acres located in the Mackenzie Region, Northwest Territories, Canada. The company was incorporated in 2000 and is headquartered in Jasper East, Canada.
PCQ.V	Petrolympic Ltd	3	3	3	clojure.lang.LazySeq@e776e6c8	clojure.lang.LazySeq@4fb4862a	clojure.lang.LazySeq@33bd5a56	Petrolympic Ltd., engages in the acquisition, exploration, and development of petroleum and natural gas properties in the United States and Canada. The company holds a 100% interest covering an area of 56,152 hectares in the St. Lawrence Lowlands shallow sandstones and carbonates platform on the south shore of the St. Lawrence River; 30% interest of the 216,933 hectares with Ressources et Energie Squatex in the Utica Fairway and the underlying Trenton-Black River carbonates; and 12% interest of the total land package 8,000 hectares through an Agreement with Canbriam Energy in the Utica Fairway and the underlying Trenton-Black River carbonates. It also holds 100% interest in the Mitis and the Matapedia properties covering an area of 40,688 hectares located in the Gasp̩ Peninsula region; and 30% interest in approximately 431,160 hectares in 24 exploration permits located on the south shore of the St. Lawrence River between Rimouski and Riviere-du-Loup. In addition, the company has interests in the Chittim Ranch property in western Texas; and has an agreement to acquire a 100% interest in Evangelic Lake Gold Property that consists of 24 mining claims (cells) covering 600 hectares located in Southwest of Espanola, Ontario, District of Sudbury. Petrolympic Ltd. is headquartered in Toronto, Canada.
PEI.V	Prospera Energy Inc	3	1	2	clojure.lang.LazySeq@e776e6c8	clojure.lang.LazySeq@1adf1	clojure.lang.LazySeq@7f83d8c1	Prospera Energy Inc., a natural resources company, acquires, explores for, and develops oil and gas properties in Canada. It primarily holds interests in the Pouce Coupe and Red Earth properties in Alberta; and Cuthbert, Hearts Hill, Luseland, and Silverdale properties in Saskatchewan. The company was formerly known as Georox Resources Inc. and changed its name to Prospera Energy Inc. in June 201.The companywas incorporated in 2003 and is headquartered in Calgary, Canada.
PEO.V	People Corp	3	0	0	clojure.lang.LazySeq@628fc3c3	clojure.lang.LazySeq@1	clojure.lang.LazySeq@1	People Corporation delivers employee group benefit consulting, third-party benefits administration, and pension and human resources consulting services to help companies recruit, retain, and reward employees. The company offers consulting solutions, which primarily include plan review and design, plan marketing and recommendations, alternative funding methods, plan set up, employee communications, and wellness programs. It also has third-party administration and third-party payor service, and administrative platforms to provide group benefit, group retirement, and consulting advice customized towards the client's needs. In addition, the company offers a range of human resource solutions, including human resource consulting, compensation, assessment, recruiting, career transition, and talent management services. People Corporation was incorporated in 2006 and is headquartered in Winnipeg, Canada.
PFC.V	Petrofrontier Corp.	3	3	1	clojure.lang.LazySeq@e776e6c8	clojure.lang.LazySeq@f54ce1c	clojure.lang.LazySeq@b29732a7	PetroFrontier Corp., a junior energy company, explores for and produces petroleum and natural gas in western Canada. It focuses on developing two Mannville heavy oil plays in the Cold Lake and Wabasca areas of Alberta. The company has working interests in the English Bay property covering an area of 2,880 acres; and the LeGoff property that covers an area of 8,680 acres located in Cold Lake, Alberta. PetroFrontier Corp. was incorporated in 2009 and is headquartered in Calgary, Canada.
PGE.V	Group Ten Metals Inc	3	4	1	clojure.lang.LazySeq@f848e18d	clojure.lang.LazySeq@c689b381	clojure.lang.LazySeq@86da3fbe	Group Ten Metals Inc., a mineral exploration company, engages in the acquisition, exploration, and development of mineral properties in Canada and the United States. The company explores for gold, platinum, palladium, nickel, copper, cobalt, and other commodities. Its core asset is the 100%-owned flagship Stillwater West platinum group element-nickel-copper-cobalt and gold project located in Stillwater District, Montana. The company also holds the Black Lake-Drayton Gold project in northwest Ontario, and the Kluane PGE-Ni-Cu-Co project located in Yukon Territory in Canada. In addition, it owns 100% interest in the Duke Island Copper-Nickel-PGE Project located in Alaska. The company was formerly known as Duncastle Gold Corp. and changed its name to Group Ten Metals Inc. in February 2015. Group Ten Metals Inc. was incorporated in 2006 and is headquartered in Vancouver, Canada.
PHA.V	Premier Health of America Inc	3	0	0	clojure.lang.LazySeq@103bd1b	clojure.lang.LazySeq@1	clojure.lang.LazySeq@1	Premier Health of America Inc. provides healthcare staffing services under the Placement Premier Soin name in Canada. The company is based in Blainville, Canada.
