symbol	company	yayk	nayk	mayk	yay	nay	may	desc
ARB.AX	Arb Corporation Limited.	1	0	5	clojure.lang.LazySeq@688a5e0	clojure.lang.LazySeq@1	clojure.lang.LazySeq@f54652a8	ARB Corporation Limited designs, manufactures, distributes, and sells motor vehicle accessories and light metal engineering works in Australia, the United States, New Zealand, Thailand, the Middle East, and Europe. The company provides bull bars, side rails and side steps, canopies, UTE lids and tub accessories, roof racks and bars, suspension systems, driving lights, air compressors and tire accessories, air lockers, winches, recovery equipment, recovery points, under vehicle protection products, fuel tanks and storage, drawers and cargo solutions, portable fridge freezers, tents, swags and awnings, camping and touring accessories, safari snorkels, dual battery and solar systems, and general accessories, as well as rear protection, towing, and wheel carriers. It also offers LINX, a controller that declutters the dashboard and centralizes the command of vehicle accessories by replacing classic switches, gauges and monitors with one sleek and smart driver interface; and UHF radios, map navigators, and GPS and reversing cameras. The company serves stockists, vehicle dealers, and various fleet operators. It operates approximately 67 ARB stores, which include 27 company owned stores in Australia. ARB Corporation Limited was founded in 1975 and is based in Kilsyth, Australia.
ATL.AX	Auto Enterprises Ltd	1	0	3	clojure.lang.LazySeq@9b27d06d	clojure.lang.LazySeq@1	clojure.lang.LazySeq@edbe2bf2	Apollo Tourism & Leisure Ltd, a tourism leisure company, manufactures, imports, rents, sells, and distributes recreational vehicles in Australia, New Zealand, North America, Germany, the United Kingdom, and Ireland. The company offers motorhomes, campervans, and caravans under the Fleetwood RV, Winnebago, Coromal, Windsor, Adria, and Talvor brands. It also sells new and used motorhomes and caravans; and ex-rental motorhomes. In addition, the company is involved in online accessories sale and labor hire business. Apollo Tourism & Leisure Ltd offers its products through a network of dealers and retail shopfronts. The company was founded in 1985 and is based in Northgate, Australia. Apollo Tourism & Leisure Ltd is a subsidiary of Lurk Investment Trust.
OGA.AX	Ocean Grown Abalone Limited	1	0	2	clojure.lang.LazySeq@5e0cf22	clojure.lang.LazySeq@1	clojure.lang.LazySeq@e3952fc1	Ocean Grown Abalone Limited owns and operates an abalone sea ranching business in Australia, Asia, and North America. It develops its sea ranching hardware design and processes for near-shore aquaculture. The company produces wild, ocean grown, and green lip abalones. The company offers its products under the Two Oceans Abalone brand. Ocean Grown Abalone Limited was incorporated in 2011 and is based in Augusta, Australia.
ALQ.AX	Als Limited	1	11	5	clojure.lang.LazySeq@6bac536	clojure.lang.LazySeq@4e5536c2	clojure.lang.LazySeq@7703e727	ALS Limited provides analytical testing services in Australia, Asia/Pacific, Europe, the Middle East, North Africa, and internationally. The company operates through three segments: Commodities, Life Sciences, and Industrial. The Commodities segment offers assaying and testing services for the mining and mineral exploration companies in geochemistry, metallurgy, inspection, and coal quality areas. Its testing and consulting services cover the resource life cycle, including exploration, feasibility, optimization, production, design, development, trade, and rehabilitation. This segment also provides coal sampling, analysis and certification, formation evaluation, and related analytical testing services. The Life Sciences segment offers analytical testing and sampling, and remote monitoring services for the environmental, food, pharmaceutical, and consumer products markets; and microbiological, physical, and chemical testing services. This segment also provides analytical testing data to assist consulting and engineering firms, industries, and governments. The Industrial segment offers diagnostic testing and engineering solutions for the energy, resources, transportation, and infrastructure sectors. This segment serves asset owners, operators, constructors, and equipment manufacturers in the power, petrochemical, mining, minerals processing, water, infrastructure, and transportation industries. The company was formerly known as Campbell Brothers Limited and changed its name to ALS Limited in August 2012. ALS Limited was founded in 1863 and is headquartered in Brisbane, Australia.
HLS.AX	Hillcrest Litigation Services Ltd	1	3	2	clojure.lang.LazySeq@8099ee9b	clojure.lang.LazySeq@db6aba1a	clojure.lang.LazySeq@e3952fc1	Healius Limited provides facilities and support services to independent general practitioners, radiologists, and other healthcare professionals in Australia. The company operates through three segments: Pathology, Imaging, and Day Hospitals. It offers diagnostic imaging services, including X-ray, ultrasound, computerized tomography, mammography, magnetic resonance imaging, nuclear medicine, positron emission tomography, and interventional radiology; and private medical laboratory and pathology services. The company also provides cataract surgery, colonoscopy, gastroscopy, plastic and cosmetic surgery, skin, cancer removal, IVF egg collection, and gynaecological surgery services. It operates 2,234 pathology sites; 15 day hospital sites; and 146 imaging sites. The company was formerly known as Primary Health Care Limited and changed its name to Healius Limited in December 2018. Healius Limited was incorporated in 1994 and is based in St Leonards, Australia.
TGP.AX	Trafalgar Corporate Group	1	0	1	clojure.lang.LazySeq@f44527cc	clojure.lang.LazySeq@1	clojure.lang.LazySeq@ff69dc2d	360 Capital Group is an ASX-listed, investment and funds management group, focused on strategic and active investment management of alternative assets. Led by a highly experienced team, the Group operates in Australian and global markets investing across real estate, public and private equity and credit strategies. We partner with our stakeholders to identify, invest and realise on opportunities.
MCE.AX	Matrix Composites & Engineering Limited	1	6	4	clojure.lang.LazySeq@6bac536	clojure.lang.LazySeq@8b0e490c	clojure.lang.LazySeq@8f3ee705	Matrix Composites & Engineering Ltd, together with its subsidiaries, designs, manufactures, sells, and engineers composite and material technology solutions to the oil and gas, civil and infrastructure, resources, defense, and transportation industries in Australia and internationally. It offers conventional riser buoyancy systems; Nautilus riser protection; Riser sealing mandrel; Matrix Longitudinal Groove System (LGS) VIV and Drag Reduction; and Matrix LGS VIV suppression, as well as buoyancy system testing services, such as hyperbaric, buoyancy verification tank, mechanical, laboratory, and material testing. The company also provides well construction products, such as Max-R, a range of low friction composite drilling and completions centralizers. In addition, it offers distributed buoyancy clamping systems, IsoBlox buoyancy building block systems, mid water arch buoyancy, permanent subsurface mooring buoyancy, pipeline buckle mitigation buoyancy, steel catenary riser buoyancy, and production riser buoyancy systems; buoyancy balls, cuboids, and tablets; and pipeline installation buoyancy products. Further, the company provides Paragon epoxy resin systems; Kinetica dropped object protection cell systems; energy absorption systems; and Matrix LGS free span remediation solutions. Additionally, it offers Cetrafoam molded pipe cryogenic insulation products; Xirtherm C140 composite cryogenic thermal break blocks; and composite pipe reinforcement systems. The company was founded in 1980 and is headquartered in Henderson, Australia.
RGS.AX	Regeneus Ltd	1	0	3	clojure.lang.LazySeq@b735027b	clojure.lang.LazySeq@1	clojure.lang.LazySeq@fca116ef	Regeneus Ltd, a clinical-stage regenerative medicine company, engages in developing cell-based therapies for the human health markets with a focus on osteoarthritis and other musculoskeletal disorders, and neuropathic pain and dermatology diseases. Its lead platform technology includes Progenza, a cryopreserved multi-synergistic therapy for the treatment of osteoarthritis and neuropathic pain. The company also develops Sygenus for the treatment of skin wound healing. Regeneus Ltd was founded in 2007 and is headquartered in Paddington, Australia.
ALU.AX	Altium Ltd	1	0	1	clojure.lang.LazySeq@7c3e0464	clojure.lang.LazySeq@1	clojure.lang.LazySeq@86da3fbe	Altium Limited develops and sells computer software for the design of electronic products in the United States and internationally. It operates through Board and Systems; Microcontrollers and Embedded Systems; and Electronic Parts, Search and Discovery segments. The company offers printed circuit board (PCB) design software products, including Altium Designer, a PCB design tool; CircuitStudio, a professional PCB design tool; CircuitMaker, a community based PCB design tool for makers, hobbyists, and DIYers communities; and NEXUS, an agile PCB design for teams, as well as embedded products, such as TASKING tools for embedded software development. It also provides cloud platform comprising Altium 365, a connecting PCB design for the manufacturing floor; and Altium Concord Pro, a solution for library management. In addition, the company offers component data product comprising Octopart, a component database, as well as PDN Analyzer, a power distribution network analysis product. Further, it provides Altium DXP Developer and Altium 365 Online Viewer, as well as live and on-demand courses. The company serves the automotive, military/aerospace, communications, contract engineering, education, consumer electronics, industrial systems, entertainment, and bioscience and medical industries. Altium Limited was founded in 1985 and is headquartered in La Jolla, California.
THR.AX	Thor Mining Plc	1	1	7	clojure.lang.LazySeq@9b27d06d	clojure.lang.LazySeq@30807f	clojure.lang.LazySeq@7752467e	Thor Mining PLC engages in the exploration and development of mineral properties in Australia and the United States. It explores for tungsten, molybdenum, copper, uranium, vanadium, gold, and nickel deposits. The company holds 100% interests in the Molyhil tungsten-molybdenum project located in the Northern Territory of Australia; the Pilot Mountain tungsten project situated in Nevada; and the Ragged Range project located in the Pilbara region of Western Australia. It also holds interests in the Kapunda copper mine and the Moonta copper project located in South Australia; and the Uranium and Vanadium project situated in the Colorado and Utah. Thor Mining PLC was incorporated in 2004 and is headquartered in London, the United Kingdom.
LYL.AX	Lycopodium Ltd	1	1	4	clojure.lang.LazySeq@70519186	clojure.lang.LazySeq@d2f1e47d	clojure.lang.LazySeq@3a17f8a9	Lycopodium Limited provides engineering consultancy services in the resources, infrastructure and industrial processes sectors. It operates through four segments: Mineral, Process Industries, Project Services-Africa, and Others. The company provides engineering, project development, and related services to junior exploration companies and multinational producers; design, engineering, and project management solutions to the manufacturing and renewable energy facilities in Australia and South East Asia; and engineering, asset management, architecture, and project delivery services to private and public clients in Australia. It also offers metallurgical consultancy services to the mineral processing community, primarily in the field of comminution, hydrometallurgy, and mineral processing design; and drafting services to offshore entities. Lycopodium Limited was founded in 1992 and is based in East Perth, Australia.
WOA.AX	Wide Open Agriculture Ltd	1	1	4	clojure.lang.LazySeq@3e2c648	clojure.lang.LazySeq@33243a	clojure.lang.LazySeq@cf1158dc	Wide Open Agriculture Limited operates as a regenerative food and farming company in Australia. It offers grass-fed, and regenerative beef and lamb under the Dirty Clean Food brand name through retail and online sales. The company also invests in, owns, and manages farmland management business. In addition, it engages production of hemps; and focuses on commercializing oat milk and lupin protein technology. The company serves restaurants, cafes, and meal kit companies. The company was incorporated in 2015 and is based in Williams, Australia.
PWH.AX	Pwr Holdings Limited	1	2	4	clojure.lang.LazySeq@9b27d06d	clojure.lang.LazySeq@ab6b423f	clojure.lang.LazySeq@50e191ed	PWR Holdings Limited engages in designing, prototyping, production, testing, validation, and sales of cooling products and solutions in Australia, the United States, the United Kingdom, Italy, Germany, and internationally. It operates through two segments, PWR Performance Products, and C&R. The company offers radiators, such as car radiators and radiator cores; and air to air, air to ice, and liquid to air intercoolers, as well as aero 2 universal cast tanks, intercooler kits, and air to air intercooler cores. It also provides engine, in-tank, inline engine, transmission, and power steering/diff/aux oil coolers; and accessories, including thermo fans, power steering reservoirs, radiator caps, expansion-recovery-surge tanks, fillers-fittings, liquid to air pumps, silicon hoses, T-bolt clamps, outlets, and other products. The company offers its cooling solutions for the motorsports, automotive original equipment manufacturing, automotive aftermarket, and emerging technologies sectors, as well as for racing, 4WD and off-road vehicle, military, and industrial applications. PWR Holdings Limited was founded in 1987 and is headquartered in Ormeau, Australia.
KGN.AX	Kogan.com Ltd	1	0	2	clojure.lang.LazySeq@b735027b	clojure.lang.LazySeq@1	clojure.lang.LazySeq@e3952fc1	Kogan.com Ltd operates as an online retailer in Australia. The company offers various brands across a range of categories, including consumer electronics, appliances, homewares, hardware, toys, and others; and owns and operates 20 private label brands. It also provides pre-paid mobile phone plans online; directly sourced holiday packages and travel bookings; and hotel bookings through hotels.kogan.com, as well as cruises through cruises.kogan.com. In addition, the company offers general insurances, including home, contents, landlord, car, and travel insurances, as well as pet, life, health, and pet insurance; NBN internet plans; and home loans. Further, it provides superannuation funds, credit cards, telecommunications services, and power and gas services, as well as trade-in cars. The company provides its products under the company's brands, such as Kogan, Ovela, Fortis, Vostok, and Komodo, as well as products sourced from imported and domestic third party brands comprising Apple, Canon, Swann, and Samsung. The company was founded in 2006 and is headquartered in Melbourne, Australia.
ECS.AX	ECSI Ltd	1	0	2	clojure.lang.LazySeq@35ce90	clojure.lang.LazySeq@1	clojure.lang.LazySeq@e3952fc1	ECS Botanics Holdings Ltd, an agribusiness and hemp food company, cultivates and processes industrial hemp in Australia. It also supplies bulk hemp foods for cafes, whole food suppliers, food brands, or food manufacturers, as well as hemp seed to licensed operators for processing and sowing. The company is based in Sydney, Australia.
FSI.AX	Flagship Investments Limited	1	0	1	clojure.lang.LazySeq@b8355f0a	clojure.lang.LazySeq@1	clojure.lang.LazySeq@af1ca97f	Flagship Investments Limited is a close ended equity mutual fund launched and managed by EC. Pohl & Company. The fund invests in the public equity markets across the globe. It invests in stocks of companies operating across diversified sectors. The fund employs a combination of fundamental and quantitative analysis with a focus on factors such as management stability, organic growth, sustainable competitive, and financial statements to build its portfolio. It benchmarks the performance of its portfolio against the All Ordinaries Index. The fund was formerly known as Hyperion Flagship Investments Limited. Flagship Investments Limited was formed in April, 1998 and is domiciled in Australia.
KKL.AX	Kollakorn Corporation Limited	1	1	4	clojure.lang.LazySeq@70519186	clojure.lang.LazySeq@3e10556	clojure.lang.LazySeq@a2162a4d	Kollakorn Corporation Limited develops, markets, and commercializes security oriented identification, authentication, and information storage technologies in Thailand and China. The company operates through three segments: Automated Vehicle Identification (AVI), Waste to Energy, and CertainID. It offers AVI products for vehicle registration, speed monitoring, free flow and congestion tolling, parking, fleet management, e-commerce, border security and access control. The company also provides Smart&Secure tamper indicating RFID tags for tracking assets. In addition, it is involved in the development of CertainID, a technology, which enables biometric authentication of individuals and information over a network for the security and privacy of each user's biometric signature, as well as waste to renewable energy conversion technologies. The company was formerly known as Mikoh Corporation Limited and changed its name to Kollakorn Corporation Limited in August 2012. Kollakorn Corporation Limited was founded in 1993 and is based in Sydney, Australia.
AHY.AX	Asaleo Care Limited	1	1	2	clojure.lang.LazySeq@b735027b	clojure.lang.LazySeq@cf8edd7f	clojure.lang.LazySeq@e3952fc1	Asaleo Care Limited, together with its subsidiaries, manufactures, markets, distributes, and sells hygiene, personal care, and consumer tissue products in Australia, New Zealand, Fiji, and the Pacific Islands. It operates through Retail and Business to Business segments. The company manufactures and markets consumer brands, including Sorbent toilet and facial tissue, Handee paper towel, Deeko disposable tableware, Purex toilet tissue, and Treasures nappies; personal hygiene products under the Libra feminine hygiene brand and the TENA incontinence brand. It also provides Tork hygiene solutions to the commercial, public, health care, food service, and industrial segments; and supplies dispensers, paper towels, toilet tissues, soaps, napkins, and industrial and kitchen wipers under the Tork brand. In addition, the company offers tampons, pads, and liners; distributes a range of consumer tissues; and produces toilet rolls, kitchen towels, serviettes, and facial tissues under the Orchid and Viti brands. It sells its products through retail stores, as well as through a distributor network to business end users, including schools, restaurants, shopping centers, airports, industrial companies, aged care facilities, and hospitals. The company was formerly known as PEPSCA Limited and changed its name to Asaleo Care Limited in May 2014. Asaleo Care Limited was founded in 1932 and is based in Springvale, Australia.
IAG.AX	Insurance Australia Group Ltd	1	2	5	clojure.lang.LazySeq@2ebaaf	clojure.lang.LazySeq@945e539b	clojure.lang.LazySeq@4c2d29ff	Insurance Australia Group Limited offers general insurance products in Australia and New Zealand. The company offers personal and commercial insurance products, including bicycle, comprehensive motor, commercial and motor fleet, commercial property and liability, construction and engineering, consumer credit, CTP, directors and officers, extended warranty, farm, crop, livestock, home and contents, income protection, marine, veteran, vintage and classic car, boat, caravan, travel, professional indemnity, public and product liability, security, workers' compensation, motor vehicle, business, and rural and horticultural. It sells its products through branches and agencies, call centers, online facilities, and intermediary channels; and third parties under the NRMA Insurance, SGIO, SGIC, CGU Insurance, WFI, Swann Insurance, NZI, State, AMI, and Lumley brands. The company was formerly known as NRMA Insurance Group Limited and changed its name to Insurance Australia Group Limited in 2002. Insurance Australia Group Limited was founded in 1925 and is headquartered in Sydney, Australia.
HZR.AX	Hazer Group Limited	1	5	3	clojure.lang.LazySeq@670d1848	clojure.lang.LazySeq@2dc83701	clojure.lang.LazySeq@96cee943	Hazer Group Limited commercializes Hazer Process, a novel hydrogen-and-graphite production technology. The company enables the conversion of natural gas and similar feed stocks into hydrogen and graphite. It serves the industrial hydrogen, hydrogen energy, and synthetic graphite markets. Hazer Group Limited was founded in 2010 and is based in Perth, Australia.
OPL.AX	Orchard Petroleum Ltd	1	0	3	clojure.lang.LazySeq@b735027b	clojure.lang.LazySeq@1	clojure.lang.LazySeq@15eb07fe	Opyl Limited operates a SaaS platform that allows to search and source user generated content (UGC). Its UGC Discovery platform protects against unauthorized use of people's social and digital content. The company also offers social media marketing agency services, including client and account management services; a MediaConsent Clinical platform that aggregates structured and unstructured data from various sources giving consumers or patients control over their health data and to contribute their data to medical research; and consumer data and privacy compliance services. It operates in Australia and the United States. The company was formerly known as ShareRoot Limited and changed its name to Opyl Limited in December 2019. Opyl Limited was incorporated in 1994 and is based in St Kilda, Australia.
TLS.AX	Telstra Corporation Ltd	1	1	4	clojure.lang.LazySeq@89bc6795	clojure.lang.LazySeq@aa1	clojure.lang.LazySeq@cff8e501	Telstra Corporation Limited provides telecommunications and information services to businesses, governments, and individuals in Australia and internationally. It operates in four segments: Telstra Consumer and Small Business, Telstra Enterprise, Networks and IT, and Telstra InfraCo. The company offers telecommunication products, services, and solutions across mobiles, fixed and mobile broadband, telephony and Pay TV/IPTV, and digital content; and online self-service capabilities, as well as operates inbound and outbound call centers, owned and licensed Telstra shops, and the Telstra dealership network. It also provides sales and contract management; and product management services for data and Internet protocol networks, mobility services, and network applications and services products, such as managed network, unified communications, cloud, industry solutions, and integrated services and monitoring. In addition, the company engages in the development of industry vertical solutions; planning, design, engineering architecture, and construction of Telstra networks, technology, and information technology solutions; and delivering network technologies. Further, it provides telecommunication products and services through its networks and related support systems to other carriers, carriage service providers, and Internet service providers; access to fixed network infrastructure assets; disconnection services; and network services under the Infrastructure Services Agreement and commercial contracts, as well as holds fixed network infrastructure, including data centers, non-mobiles related domestic fiber, copper, HFC cable, international subsea cables, exchanges, poles, ducts, and pipes. The company was formerly known as Australian and Overseas Telecommunications Corporation Limited and changed its name to Telstra Corporation Limited in April 1993. Telstra Corporation Limited was founded in 1901 and is based in Melbourne, Australia.
MQR.AX	Marquee Resources Limited	1	0	3	clojure.lang.LazySeq@77df130d	clojure.lang.LazySeq@1	clojure.lang.LazySeq@15eb07fe	Marquee Resources Limited engages in the mineral exploration activities. The company holds a 100% interest in the Clayton Valley lithium project located in Nevada, the United States; and a 100% interest in the Redlings REE project covering an area of 39.06 square kilometers located in Western Australia. It also has interests in the Centenario lithium project located to the west of Salta City, Northern Argentina; and the Werner Lake and Skeleton Lake cobalt projects located in Ontario, Canada. The company was incorporated in 2016 and is based in Subiaco, Australia.
BKT.AX	Black Rock Mining Limited	1	0	5	clojure.lang.LazySeq@41ddf02	clojure.lang.LazySeq@1	clojure.lang.LazySeq@34f6e8c7	Black Rock Mining Limited engages in the exploration and development of graphite projects in Tanzania. It holds a 100% interest in the Mahenge graphite project in Tanzania. The company was formerly known as Green Rock Energy Limited and changed its name to Black Rock Mining Limited in March 2015. Black Rock Mining Limited was incorporated in 2000 and is based in West Perth, Australia.
OPY.AX	Openpay Group Ltd	1	1	3	clojure.lang.LazySeq@9b27d06d	clojure.lang.LazySeq@556423ef	clojure.lang.LazySeq@15eb07fe	Openpay Group Ltd provides Buy Now Pay Later (BNPL) payment solutions in Australia, New Zealand, the United Kingdom, and the United States. The company partners with merchants to provide BNPL repayment plans to customers through in-store, in-app, and online channels, as well as facilitates increased transaction values and conversion rates for merchants at checkout. It also offers Openpay for Business, a software as a service portal that enables enterprise customers to manage trade accounts end to end, including applications, credit checks, approvals, and account management in one system. The company serves in healthcare, automotive, home improvement, and retail sectors. Openpay has strategic partnership with ezyVet to extend payment plans to fur babies. Openpay Group Ltd was founded in 2013 and is headquartered in Melbourne, Australia.
CVC.AX	CVC Ltd	1	0	2	clojure.lang.LazySeq@35ce90	clojure.lang.LazySeq@1	clojure.lang.LazySeq@e3952fc1	CVC Limited is a venture capital and private equity firm specializing in seed/startup, early venture, mid venture, late venture, emerging growth, mezzanine, and growth capital investments. It prefers to invests in fintech sector. The firm is providing investment capital to companies that engage in financing, property related investments, and packaging supplies in Australia. It operates through Private Equity and Venture Capital, and Property segments. Private Equity and Venture Capital segment invests in equity and debt investments in non-listed entities. The firm will typically invest amounts in the range of A$1million (0.79 million) to A$15 million ($11.90 million). Property segment comprises joint venture interests in the Chevron Renaissance shopping center, the Bel-Air shops. It was formerly known as Continental Venture Capital Limited. CVC Limited was founded in 1985 and is based in Sydney, Australia.
DMC.AX	Digimatic Group Limited	1	4	1	clojure.lang.LazySeq@e6f21444	clojure.lang.LazySeq@672ae221	clojure.lang.LazySeq@9be7852b	Design Milk Co Limited sells lifestyle and design products through e-commerce platforms. The company provides apparel, accessories, shoes, jewelry, and bags; skin and oral care, hair care, body care, and bath and wellness products; and home accessories and d̩cor products, as well as products for kitchen, bed, office, and bar. It also offers Design-milk, a design and lifestyle-focused website that provides news in art, architecture, interior design, furniture, fashion, and technology to its engaged audience. The company was formerly known as AHAlife Holdings Limited and changed its name to Design Milk Co Limited in December 2020. Design Milk Co Limited was incorporated in 1988 and is based in Pickerington, Ohio.
GRR.AX	Grange Resources Ltd	1	0	3	clojure.lang.LazySeq@65cda8a	clojure.lang.LazySeq@1	clojure.lang.LazySeq@5a074fbf	Grange Resources Limited engages in the integrated iron ore mining and pellet production business in the northwest region of Tasmania. The company is involved in the mining, processing, and sale of iron ore; and exploration, evaluation, and development of mineral resources at the Southdown Magnetite and related Pellet plant projects. It owns interests in the Savage River magnetite iron ore mine located to the southwest of the city of Burnie. Grange Resources Limited is based in Burnie, Australia.
TMR.AX	Tamaya Resources Ltd	1	2	3	clojure.lang.LazySeq@77df130d	clojure.lang.LazySeq@43e93c1	clojure.lang.LazySeq@3e2d71bf	Tempus Resources Limited focuses on exploring and developing copper and other mineral properties in Australia. It owns a 100% interests Blackdome-Elizabeth Gold Project; and Mineral Creek Gold Project located in the British Columbia, Canada. The company also owns interests Zamora Projects; 90% interest in the Montejinni Project located near Top Springs in the Northern Territory; and Claypan Dam Project situated in the Gawler Craton of South Australia. The company was incorporated in 2018 and is based in Perth, Australia.
HXL.AX	Hexima Ltd	1	1	3	clojure.lang.LazySeq@65cda8a	clojure.lang.LazySeq@f8c1f362	clojure.lang.LazySeq@dc7f8f87	Hexima Limited, a biotechnology company, engages in the research and development of plant-derived proteins and peptides for applications as human therapeutics. The company's lead drug candidate is HXP124, which is in a phase IIb clinical trial for the treatment of fungal toenail infections. It operates in the topical antifungal sector of the pharmaceutical product development industry worldwide. The company was founded in 1997 and is headquartered in Melbourne, Australia.
ORI.AX	Orica Ltd	1	1	8	clojure.lang.LazySeq@77df130d	clojure.lang.LazySeq@1adf1	clojure.lang.LazySeq@29450050	Orica Limited manufactures and sells commercial explosives and blasting systems to the mining, quarrying, oil and gas, and construction markets in Australia, the United States, Canada, and internationally. The company provides bulk systems, wireless initiating systems, electronic blasting systems, initiating systems, packaged explosives, and blasting services to the surface and underground mining construction markets. It also offers mining chemical products, including cyanide sparges, emulsifiers, and sodium cyanide, as well as PRO services; and environmental monitoring and consultancy services for the construction and mining industries. In addition, the company provides chemical and mechanical earth control products, adhesives, and ground support equipment comprising steel bolts and plates, glass fiber reinforced polymer bolts, injectable chemicals and foams, mesh, resin capsules, cementitious grouts and coatings, pumps, soil anchoring systems, ballast bonding polymers, and accessories, as well as engineering services. Further, it offers geotechnical deformation and convergence monitoring solutions to the mining and civil industries; and nitrogen fertilizers, which include urea ammonium nitrate and ammonia. Orica Limited was founded in 1874 and is headquartered in East Melbourne, Australia.
KME.AX	Kip McGrath Education Centres	1	0	2	clojure.lang.LazySeq@9b27d06d	clojure.lang.LazySeq@1	clojure.lang.LazySeq@e3952fc1	Kip McGrath Education Centres Limited provides supplementary English and maths education services in Australia, New Zealand, the United Kingdom, Europe, and internationally. It sells franchises and offers services to franchisees in the education field. The company also provides tutorial assistance in English and maths to primary and secondary students; and online tutoring services. It has a franchise network of approximately 560 tutoring centers. Kip McGrath Education Centres Limited was founded in 1974 and is headquartered in Newcastle, Australia.
TNE.AX	Technology One Ltd	1	0	3	clojure.lang.LazySeq@b735027b	clojure.lang.LazySeq@1	clojure.lang.LazySeq@b1c46b3f	Technology One Limited researches, develops, markets, sells, implements, and supports integrated enterprise business software solutions worldwide. The company operates through Software, Consulting, and Corporate segments. It offers various business solutions, including enterprise asset management, human resource and payroll, financials, enterprise budgeting, supply chain, property and rating, student management, business intelligence, enterprise content management, performance planning, spatial, enterprise cash receipting, stakeholder management, and business process management. The company serves local government, education, government, health and community services, asset and project intensive, and financial and corporate organizations. Technology One Limited was founded in 1987 and is based in Fortitude Valley, Australia.
BUB.AX	Bubs Australia Limited	1	5	4	clojure.lang.LazySeq@b8355f0a	clojure.lang.LazySeq@2b45b016	clojure.lang.LazySeq@369d6f81	Bubs Australia Limited, together with its subsidiaries, engages in the production and sale of various infant nutrition products in Australia, China, and internationally. It offers organic baby food, goat milk infant formula, adult goat milk powder, and fresh dairy products, as well as pouches, cereals, and snacks under the Bubs, CapriLac, Deloraiane, and Capela brands. The company also provides children's vitamin and mineral supplement products under the Vita Bubs name; canning services for nutritional dairy products; and holds IP and trademarks. Bubs Australia Limited was incorporated in 1993 and is headquartered in Dandenong, Australia.
CLI.AX	Challenger International	1	0	3	clojure.lang.LazySeq@2ebaaf	clojure.lang.LazySeq@1	clojure.lang.LazySeq@15eb07fe	CropLogic Limited provides agronomy services to crop growers in Australia, New Zealand, and the United States. It provides infield soil moisture monitoring, infrared aerial imagery, yield prediction, and farm management services. The company was founded in 2010 and is headquartered in West Perth, Australia.
TNP.AX	Tango Petroleum Limited	1	4	4	clojure.lang.LazySeq@670d1848	clojure.lang.LazySeq@7fd107f7	clojure.lang.LazySeq@e5635bc9	Triple Energy Limited, an oil gas company, explores for natural resources in the People's Republic of China. The company owns an 80% interest in a coalmine gas project in the Heilongjiang province. It also invests in and holds interests in the oil and gas exploration property. The company was formerly known as Tango Petroleum Limited and changed its name to Triple Energy Limited in March 2012. Triple Energy Limited was incorporated in 2010 and is based in Cottesloe, Australia.
MCT.AX	Metalicity Limited	1	3	4	clojure.lang.LazySeq@77df130d	clojure.lang.LazySeq@ba50ecbf	clojure.lang.LazySeq@369d6f81	Metalicity Limited, together with its subsidiaries, explores for and develops gold and zinc deposits in Australia and Canada. The company's flagship project is the Kookynie Gold project located in the Eastern Goldfields of Western Australia. It also holds interests in the Yundamindra Gold project located to the south east of Leonora and east of Kookynie; and a 100% interest in the Admiral Bay Zinc project located in the Canning Basin, Kimberley region of Western Australia. The company was formerly known as PLD Corporation Limited and changed its name to Metalicity Limited in July 2015. Metalicity Limited was incorporated in 1999 is based in Perth, Australia.
MPR.AX	Macquarie ProLogis Trust	1	0	3	clojure.lang.LazySeq@70519186	clojure.lang.LazySeq@1	clojure.lang.LazySeq@41a7fae7	MPower Group Limited designs and delivers renewable energy, battery storage, and microgrid solutions in Australia, New Zealand, and internationally. It operates through Power Investments and Property Investments segments. The company engages in the design, construction, installation, and commissioning of power system projects; and monitoring, and service and maintenance of power system assets. In addition, it finances power system projects, as well as owns a property in Melbourne. The company was formerly known as Tag Pacific Limited and changed its name to MPower Group Limited in January 2019. MPower Group Limited was incorporated in 1963 and is headquartered in Mascot, Australia. MPower Group Limited is a subsidiary of Tag Private Pty Limited.
KOR.AX	Korab Resources Ltd	1	1	3	clojure.lang.LazySeq@41ddf02	clojure.lang.LazySeq@30807f	clojure.lang.LazySeq@8f4367bb	Korab Resources Limited engages in the exploration and evaluation of mineral properties. The company explores for gold, silver, phosphate rock, magnesium, tin, iron ore, copper, nickel, cobalt, lead, zinc, lithium, and rare earth metals. Its projects include the Bobrikovo project located in Ukraine; the Winchester magnesium carbonate and the Geolsec Phosphate projects located in Darwin, Northern Territory; the Batchelor and the Green Alligator projects located in Batchelor, Northern Territory; and the Mt. Elephant project located in Western Australia. The company was founded in 1998 and is based in West Perth, Australia.
OSX.AX	Osteopore Limited	1	0	0	clojure.lang.LazySeq@670d1848	clojure.lang.LazySeq@1	clojure.lang.LazySeq@1	Osteopore Limited designs, develops, and markets bioresorbable polymer implants for neurosurgical, orthopedic, and maxillofacial surgery applications. It specializes in the production of 3D printed bioresorbable implants that are used in conjunction with surgical procedures to assist with the natural stages of bone healing. The company offers Osteoplug, a bioresorbable implant, which is used for covering trephination burr holes in neurosurgery; Osteomesh that is used in craniofacial surgery to repair various types of fractures; and Osteostrip for filling the void following a craniotomy. It operates in Singapore, Malaysia, South Korea, Vietnam, and internationally. The company was founded in 2003 and is headquartered in Singapore.
